qid,replica,model,query,mode,parse_ok,parse_error,winner_letter,winner_method,confidence,failure_letters,ranking_letters,ranking_methods,overall_A,overall_B,overall_C,overall_D,overall_E,decision_letter,decision_method,reason,source_file
Q004,1,gemini-2.5-flash-lite,добавление и редактирование медиа групп,fiveway,1,,B,classic_dense_heuristic,4,,"B,D,E,A,C","classic_dense_heuristic,bm25,classic_dense,ontology_stable_baseline,bm25_heuristic",0,4,0,3,3,,,,artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q004_1.json
Q004,1,gpt-4o-mini,добавление и редактирование медиа групп,fiveway,1,,B,classic_dense_heuristic,4,"A,C","B,E,D,A,C","classic_dense_heuristic,classic_dense,bm25,ontology_stable_baseline,bm25_heuristic",0,5,0,1,3,,,,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q004_1.json
Q005,1,claude-haiku-4-5-20251001,настройки вопросов форм,fiveway,1,,C,ontology_stable_baseline,5,,"C,A,D,B,E","ontology_stable_baseline,classic_dense,bm25,classic_dense_heuristic,bm25_heuristic",2,1,5,2,1,,,,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q005_1.json
Q005,1,gemini-2.5-flash-lite,настройки вопросов форм,fiveway,1,,C,ontology_stable_baseline,5,,"C,A,D,B,E","ontology_stable_baseline,classic_dense,bm25,classic_dense_heuristic,bm25_heuristic",3,2,5,3,2,,,,artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q005_1.json
Q005,1,gpt-4o-mini,настройки вопросов форм,fiveway,1,,C,ontology_stable_baseline,4,,"C,A,B,D,E","ontology_stable_baseline,classic_dense,classic_dense_heuristic,bm25,bm25_heuristic",3,3,5,3,3,,,,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q005_1.json
Q006,1,claude-haiku-4-5-20251001,условия вопросов в формах,fiveway,1,,,,4,,"D,E,B,C,A","ontology_stable_baseline,classic_dense_heuristic,bm25_heuristic,bm25,classic_dense",1,2,2,4,4,,,,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q006_1.json
Q006,1,gemini-2.5-flash-lite,условия вопросов в формах,fiveway,1,,E,classic_dense_heuristic,4,,"E,D,B,C,A","classic_dense_heuristic,ontology_stable_baseline,bm25_heuristic,bm25,classic_dense",1,2,2,3,4,,,,artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q006_1.json
Q006,1,gpt-4o-mini,условия вопросов в формах,fiveway,1,,E,classic_dense_heuristic,4,,"E,D,A,C,B","classic_dense_heuristic,ontology_stable_baseline,classic_dense,bm25,bm25_heuristic",1,0,0,3,4,,,,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q006_1.json
Q007,1,claude-haiku-4-5-20251001,макросы в конструкторе рассылок,fiveway,1,,D,ontology_stable_baseline,4,,"D,E,B,C,A","ontology_stable_baseline,bm25,bm25_heuristic,classic_dense_heuristic,classic_dense",1,3,3,5,4,,,,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q007_1.json
Q007,1,gemini-2.5-flash-lite,макросы в конструкторе рассылок,fiveway,1,,D,ontology_stable_baseline,4,,"D,B,C,E,A","ontology_stable_baseline,bm25_heuristic,classic_dense_heuristic,bm25,classic_dense",2,4,4,5,4,,,,artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q007_1.json
Q007,1,gpt-4o-mini,макросы в конструкторе рассылок,fiveway,1,,D,ontology_stable_baseline,4,,"D,B,C,A,E","ontology_stable_baseline,bm25_heuristic,classic_dense_heuristic,classic_dense,bm25",2,3,3,5,2,,,,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q007_1.json
Q008,1,claude-haiku-4-5-20251001,настройки SMS провайдера,fiveway,1,,A,ontology_stable_baseline,5,,"A,B,C,E,D","ontology_stable_baseline,classic_dense_heuristic,bm25_heuristic,classic_dense,bm25",5,4,2,0,1,,,,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q008_1.json
Q008,1,gemini-2.5-flash-lite,настройки SMS провайдера,fiveway,1,,A,ontology_stable_baseline,5,,"A,B,C,D,E","ontology_stable_baseline,classic_dense_heuristic,bm25_heuristic,bm25,classic_dense",5,3,2,1,1,,,,artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q008_1.json
Q008,1,gpt-4o-mini,настройки SMS провайдера,fiveway,1,,A,ontology_stable_baseline,5,"D,E","A,B,C,D,E","ontology_stable_baseline,classic_dense_heuristic,bm25_heuristic,bm25,classic_dense",5,3,2,0,0,,,,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q008_1.json
Q009,1,claude-haiku-4-5-20251001,ход исполнения рассылок,fiveway,1,,A,bm25_heuristic,4,D,"A,B,C,D,E","bm25_heuristic,bm25,classic_dense,classic_dense_heuristic,ontology_stable_baseline",4,3,0,0,0,,,,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q009_1.json
Q009,1,gemini-2.5-flash-lite,ход исполнения рассылок,fiveway,1,,,,4,D,"A,B,C,E,D","bm25_heuristic,bm25,classic_dense,ontology_stable_baseline,classic_dense_heuristic",4,4,1,0,1,,,,artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q009_1.json
Q009,1,gpt-4o-mini,ход исполнения рассылок,fiveway,1,,,,4,D,"A,B,C,E,D","bm25_heuristic,bm25,classic_dense,ontology_stable_baseline,classic_dense_heuristic",4,4,1,0,1,,,,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q009_1.json
Q010,1,claude-haiku-4-5-20251001,создание и настройки виджета,fiveway,1,,B,ontology_stable_baseline,5,,"B,C,A,D,E","ontology_stable_baseline,bm25_heuristic,classic_dense_heuristic,bm25,classic_dense",1,5,3,0,0,,,,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q010_1.json
Q010,1,gemini-2.5-flash-lite,создание и настройки виджета,fiveway,1,,B,ontology_stable_baseline,5,,"B,C,A,D,E","ontology_stable_baseline,bm25_heuristic,classic_dense_heuristic,bm25,classic_dense",1,5,4,1,1,,,,artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q010_1.json
Q010,1,gpt-4o-mini,создание и настройки виджета,fiveway,1,,B,ontology_stable_baseline,4,E,"B,C,A,D,E","ontology_stable_baseline,bm25_heuristic,classic_dense_heuristic,bm25,classic_dense",1,5,3,1,0,,,,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q010_1.json
