qid,replica,model,query,letter,method,parse_ok,parse_error,is_failure_letter,relevance,answerability,noise,overall,rationale,source_file
Q001,1,gpt-4o-mini,редактирование существующего события,A,ontology_stable_baseline,1,,0,5,5,0,5,"Полностью охватывает процесс редактирования событий, включая ограничения.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q001_1.json
Q001,1,gpt-4o-mini,редактирование существующего события,B,bm25_heuristic,1,,0,4,4,2,3,"Содержит важную информацию, но менее полная, чем A.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q001_1.json
Q001,1,gpt-4o-mini,редактирование существующего события,C,bm25,1,,0,4,4,3,3,"Содержит повторяющиеся части и менее структурирована, чем A и B.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q001_1.json
Q001,1,gpt-4o-mini,редактирование существующего события,D,classic_dense,1,,1,1,0,4,0,"Содержит мало информации о редактировании событий, в основном не по теме.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q001_1.json
Q001,1,gpt-4o-mini,редактирование существующего события,E,classic_dense_heuristic,1,,1,1,0,5,0,"Не относится к редактированию событий, фокусируется на сценариях рассылки.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q001_1.json
Q002,1,claude-haiku-4-5-20251001,связи между блоками рассылки,A,bm25,1,,0,4,2,3,2,Mentions connections between action blocks but lacks comprehensive explanation. Contains some relevant fragments but mostly repetitive headers without substantive content about how connections work.,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q002_1.json
Q002,1,claude-haiku-4-5-20251001,связи между блоками рассылки,B,ontology_stable_baseline,1,,0,1,0,5,0,"Completely irrelevant—discusses message ordering within a block, not connections between blocks. No useful information for the query.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q002_1.json
Q002,1,claude-haiku-4-5-20251001,связи между блоками рассылки,C,bm25_heuristic,1,,0,5,5,1,5,"Directly and comprehensively addresses the query with clear explanations of how connections between blocks work, including event-to-action block relationships, multiple connections to one block, and the mechanics of creating connections in the designer.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q002_1.json
Q002,1,claude-haiku-4-5-20251001,связи между блоками рассылки,D,classic_dense,1,,0,1,0,5,0,Mostly irrelevant headers and section titles with no substantive content about connections between blocks. Appears to be a table of contents or navigation structure.,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q002_1.json
Q002,1,claude-haiku-4-5-20251001,связи между блоками рассылки,E,classic_dense_heuristic,1,,0,2,1,4,1,"Tangentially related to mailings and block transitions but focuses on mailing states, event blocks, and recipient configuration rather than explaining connections between blocks specifically.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q002_1.json
Q002,1,gemini-2.5-flash-lite,связи между блоками рассылки,A,bm25,1,,0,4,3,2,3,"Контекст содержит информацию о связях между блоками действий и типах связей, что частично соответствует запросу. Однако, он не полностью раскрывает тему связей между блоками рассылки в целом.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q002_1.json
Q002,1,gemini-2.5-flash-lite,связи между блоками рассылки,B,ontology_stable_baseline,1,,0,1,0,5,0,"Контекст описывает упорядочивание сообщений внутри блока, что не имеет отношения к связям между блоками рассылки.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q002_1.json
Q002,1,gemini-2.5-flash-lite,связи между блоками рассылки,C,bm25_heuristic,1,,0,5,5,1,5,"Контекст напрямую отвечает на запрос, подробно описывая, как создаются и что означают связи между блоками в рассылках, включая начальные события и блоки действий.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q002_1.json
Q002,1,gemini-2.5-flash-lite,связи между блоками рассылки,D,classic_dense,1,,0,0,0,5,0,"Контекст содержит заголовки, не связанные с запросом о связях между блоками рассылки, такие как удаление сообщений и состояния рассылки.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q002_1.json
Q002,1,gemini-2.5-flash-lite,связи между блоками рассылки,E,classic_dense_heuristic,1,,0,3,2,3,2,"Контекст упоминает переходы между блоками рассылок и успешные изменения состояния, но не детализирует сами связи между блоками.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q002_1.json
Q002,1,gpt-4o-mini,связи между блоками рассылки,A,bm25,1,,0,5,4,2,3,"Содержит информацию о связях между блоками, но есть повторения.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q002_1.json
Q002,1,gpt-4o-mini,связи между блоками рассылки,B,ontology_stable_baseline,1,,1,0,0,5,0,Не относится к теме связей между блоками рассылки.,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q002_1.json
Q002,1,gpt-4o-mini,связи между блоками рассылки,C,bm25_heuristic,1,,0,5,4,2,3,"Предоставляет информацию о связях, но есть некоторые повторения.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q002_1.json
Q002,1,gpt-4o-mini,связи между блоками рассылки,D,classic_dense,1,,1,0,0,5,0,"Не содержит информации о связях, только о других аспектах рассылки.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q002_1.json
Q002,1,gpt-4o-mini,связи между блоками рассылки,E,classic_dense_heuristic,1,,0,5,4,2,3,"Содержит информацию о связях, но также есть повторения.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q002_1.json
Q003,1,claude-haiku-4-5-20251001,добавление действий в блоки рассылки,A,bm25,1,,0,2,1,4,1,Mostly repetitive headers and fragments about action blocks with minimal substantive content. Does not explain how to add actions to mailing blocks.,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q003_1.json
Q003,1,claude-haiku-4-5-20251001,добавление действий в блоки рассылки,B,classic_dense,1,,0,3,2,3,2,"Contains some relevant information about adding blocks to mailings, but mixes in unrelated content about message ordering, deletion, and statistics. Partially addresses the query.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q003_1.json
Q003,1,claude-haiku-4-5-20251001,добавление действий в блоки рассылки,C,classic_dense_heuristic,1,,0,3,2,2,2,"Includes explanation of adding blocks to mailings with the 'Add block' button and dragging to scenario area. However, focuses more on comment blocks than general action blocks, and includes some irrelevant metrics information.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q003_1.json
Q003,1,claude-haiku-4-5-20251001,добавление действий в блоки рассылки,D,bm25_heuristic,1,,0,4,3,2,3,"Directly explains how action blocks are added to mailings via the 'Add block' button and how they connect with events. Relevant and focused, though some content about button actions is tangential.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q003_1.json
Q003,1,claude-haiku-4-5-20251001,добавление действий в блоки рассылки,E,ontology_stable_baseline,1,,0,5,4,1,4,"Comprehensive and well-structured explanation of the mailing scenario setup, including the 'Add block' button mechanism for adding action blocks to mailings. Directly answers the query with clear, organized information and minimal noise.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q003_1.json
Q003,1,gemini-2.5-flash-lite,добавление действий в блоки рассылки,A,bm25,1,,0,3,2,3,2,"Контекст упоминает 'блоки действий' и 'связи между блоками действий', что частично соответствует запросу. Однако, он не объясняет, как добавлять действия в эти блоки.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q003_1.json
Q003,1,gemini-2.5-flash-lite,добавление действий в блоки рассылки,B,classic_dense,1,,0,2,1,3,1,"Контекст описывает упорядочивание и удаление сообщений из блока, а также вставку блока-комментария. Он не содержит информации о добавлении действий в блоки рассылки.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q003_1.json
Q003,1,gemini-2.5-flash-lite,добавление действий в блоки рассылки,C,classic_dense_heuristic,1,,0,3,2,3,2,"Контекст упоминает, что блок позволяет вызывать события и запускать другие рассылки, а также добавлять блоки действий. Это косвенно связано с запросом, но не дает прямого ответа на вопрос о добавлении действий.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q003_1.json
Q003,1,gemini-2.5-flash-lite,добавление действий в блоки рассылки,D,bm25_heuristic,1,,0,4,3,2,3,"Контекст подробно описывает, как события и блоки действий соединяются связями, и как это связано с выполнением сценария рассылки. Он дает представление о структуре, но не о добавлении конкретных действий в блоки.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q003_1.json
Q003,1,gemini-2.5-flash-lite,добавление действий в блоки рассылки,E,ontology_stable_baseline,1,,0,4,3,1,3,"Контекст описывает структуру сценария рассылки, включающую события, блоки действий и связи, а также процесс добавления блоков действий. Это дает хорошее представление о контексте добавления действий.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q003_1.json
Q003,1,gpt-4o-mini,добавление действий в блоки рассылки,A,bm25,1,,0,2,1,4,1,Содержит много повторений и мало полезной информации о добавлении действий.,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q003_1.json
Q003,1,gpt-4o-mini,добавление действий в блоки рассылки,B,classic_dense,1,,0,3,2,3,2,"Некоторые части могут быть полезны, но в основном не связаны с добавлением действий.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q003_1.json
Q003,1,gpt-4o-mini,добавление действий в блоки рассылки,C,classic_dense_heuristic,1,,0,4,3,2,3,"Предоставляет информацию о блоках действий, но не так полно, как другие кандидаты.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q003_1.json
Q003,1,gpt-4o-mini,добавление действий в блоки рассылки,D,bm25_heuristic,1,,0,4,4,2,4,"Хорошо объясняет связи между событиями и блоками действий, но не так подробно о добавлении.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q003_1.json
Q003,1,gpt-4o-mini,добавление действий в блоки рассылки,E,ontology_stable_baseline,1,,0,5,5,1,5,Полно и четко объясняет процесс добавления блоков действий в сценарий рассылки.,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q003_1.json
Q004,1,claude-haiku-4-5-20251001,добавление и редактирование медиа групп,A,ontology_stable_baseline,1,,0,1,0,4,0,"Completely off-topic; discusses event editing, not media groups. No relevant information for the query.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q004_1.json
Q004,1,claude-haiku-4-5-20251001,добавление и редактирование медиа групп,B,classic_dense_heuristic,1,,0,4,3,2,3,"Directly addresses media groups with definitions, constraints (max 50 items), and instructions for adding them. Contains actionable information but lacks detailed step-by-step editing procedures.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q004_1.json
Q004,1,claude-haiku-4-5-20251001,добавление и редактирование медиа групп,C,bm25_heuristic,1,,0,1,0,3,0,Mostly irrelevant; focuses on event editing and system events with minimal media group content. Does not support the query.,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q004_1.json
Q004,1,claude-haiku-4-5-20251001,добавление и редактирование медиа групп,D,bm25,1,,0,3,1,5,1,"Mentions media group addition and editor with figure references, but consists almost entirely of figure captions and repetitions with minimal substantive content.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q004_1.json
Q004,1,claude-haiku-4-5-20251001,добавление и редактирование медиа групп,E,classic_dense,1,,0,3,1,4,1,"Contains some relevant information about media groups and figures, but mostly figure references and incomplete sentences. Limited practical guidance for adding/editing.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q004_1.json
Q004,1,gemini-2.5-flash-lite,добавление и редактирование медиа групп,A,ontology_stable_baseline,1,,0,0,0,5,0,Контекст полностью посвящен редактированию событий и не содержит информации о медиа группах.,artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q004_1.json
Q004,1,gemini-2.5-flash-lite,добавление и редактирование медиа групп,B,classic_dense_heuristic,1,,0,4,4,2,4,"Контекст содержит определения медиа групп, их ограничения и шаги по их добавлению и использованию, что напрямую отвечает на запрос.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q004_1.json
Q004,1,gemini-2.5-flash-lite,добавление и редактирование медиа групп,C,bm25_heuristic,1,,0,0,0,5,0,Контекст описывает редактирование событий и не имеет отношения к медиа группам.,artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q004_1.json
Q004,1,gemini-2.5-flash-lite,добавление и редактирование медиа групп,D,bm25,1,,0,3,3,3,3,"Контекст содержит упоминания добавления и редактирования медиа групп, а также ссылки на рисунки, но не предоставляет подробной информации.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q004_1.json
Q004,1,gemini-2.5-flash-lite,добавление и редактирование медиа групп,E,classic_dense,1,,0,3,3,3,3,"Контекст упоминает медиа группы и их добавление, но также содержит много информации о медиа-контенте и рисунках, что снижает его прямое соответствие.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q004_1.json
Q004,1,gpt-4o-mini,добавление и редактирование медиа групп,A,ontology_stable_baseline,1,,1,1,0,4,0,"Содержит информацию о редактировании событий, но не о медиа группах.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q004_1.json
Q004,1,gpt-4o-mini,добавление и редактирование медиа групп,B,classic_dense_heuristic,1,,0,5,5,1,5,Полностью отвечает на запрос о добавлении и редактировании медиа групп.,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q004_1.json
Q004,1,gpt-4o-mini,добавление и редактирование медиа групп,C,bm25_heuristic,1,,1,1,0,4,0,"Содержит информацию о редактировании событий, но не о медиа группах.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q004_1.json
Q004,1,gpt-4o-mini,добавление и редактирование медиа групп,D,bm25,1,,0,3,2,3,1,"Содержит изображения и упоминания о медиа группах, но мало полезной информации.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q004_1.json
Q004,1,gpt-4o-mini,добавление и редактирование медиа групп,E,classic_dense,1,,0,4,3,2,3,"Содержит информацию о медиа группах, но также много шумного контента.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q004_1.json
Q005,1,claude-haiku-4-5-20251001,настройки вопросов форм,A,classic_dense,1,,0,3,1,4,2,Contains relevant headers about form settings but mostly repetitive titles with minimal substantive content about question settings. Does not provide actionable information.,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q005_1.json
Q005,1,claude-haiku-4-5-20251001,настройки вопросов форм,B,classic_dense_heuristic,1,,0,2,1,3,1,"Mentions form settings but focuses on macros, external system calls, and form-level settings rather than question-specific settings. Limited relevance to the query.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q005_1.json
Q005,1,claude-haiku-4-5-20251001,настройки вопросов форм,C,ontology_stable_baseline,1,,0,5,4,1,5,"Directly addresses 'Основные настройки вопросов' (basic question settings) with detailed, step-by-step instructions on how to configure questions, including specific settings like answer identifier and question text. Highly relevant and comprehensive.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q005_1.json
Q005,1,claude-haiku-4-5-20251001,настройки вопросов форм,D,bm25,1,,0,4,2,3,2,"Contains relevant headers and mentions both form settings and question settings, but lacks substantive details. Mostly repetitive titles without actionable content to answer the query.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q005_1.json
Q005,1,claude-haiku-4-5-20251001,настройки вопросов форм,E,bm25_heuristic,1,,0,2,1,3,1,Focuses on form-level settings and technical details about optional questions and macros. Minimal relevance to question-specific settings configuration.,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q005_1.json
Q005,1,gemini-2.5-flash-lite,настройки вопросов форм,A,classic_dense,1,,0,4,3,2,3,"Кандидат содержит разделы 'Настройки формы' и 'Особенности и «трюки» при использовании форм', что релевантно запросу. Однако, он не дает детальной информации о настройках именно вопросов.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q005_1.json
Q005,1,gemini-2.5-flash-lite,настройки вопросов форм,B,classic_dense_heuristic,1,,0,3,2,3,2,"Кандидат упоминает настройки формы и вызовы внешних систем, но не фокусируется на настройках вопросов, что делает его менее релевантным.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q005_1.json
Q005,1,gemini-2.5-flash-lite,настройки вопросов форм,C,ontology_stable_baseline,1,,0,5,5,1,5,"Кандидат напрямую отвечает на запрос, подробно описывая основные настройки вопросов, включая идентификатор ответа и текст вопроса, с пошаговой инструкцией.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q005_1.json
Q005,1,gemini-2.5-flash-lite,настройки вопросов форм,D,bm25,1,,0,4,3,2,3,"Кандидат содержит заголовки 'Настройки формы' и 'Основные настройки вопросов', но информация разрознена и не дает полного ответа на вопрос о настройках вопросов.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q005_1.json
Q005,1,gemini-2.5-flash-lite,настройки вопросов форм,E,bm25_heuristic,1,,0,3,2,3,2,"Кандидат в основном касается настроек формы в целом и необязательных вопросов, а не конкретных настроек самих вопросов.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q005_1.json
Q005,1,gpt-4o-mini,настройки вопросов форм,A,classic_dense,1,,0,4,3,2,3,"Содержит информацию о настройках формы, но есть повторения и не вся информация полная.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q005_1.json
Q005,1,gpt-4o-mini,настройки вопросов форм,B,classic_dense_heuristic,1,,0,4,3,3,3,"Также касается настроек формы, но включает лишние детали, которые могут отвлекать.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q005_1.json
Q005,1,gpt-4o-mini,настройки вопросов форм,C,ontology_stable_baseline,1,,0,5,5,1,5,"Четко описывает настройки вопросов и как их задать, что полностью отвечает на запрос.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q005_1.json
Q005,1,gpt-4o-mini,настройки вопросов форм,D,bm25,1,,0,4,3,3,3,Содержит повторения и не дает полной информации о настройках вопросов.,artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q005_1.json
Q005,1,gpt-4o-mini,настройки вопросов форм,E,bm25_heuristic,1,,0,4,3,3,3,"Информация о настройках формы присутствует, но много лишнего контента, который отвлекает.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q005_1.json
Q006,1,claude-haiku-4-5-20251001,условия вопросов в формах,A,classic_dense,1,,0,2,1,4,1,Contains only section headers and titles with no substantive content about question conditions. Highly noisy with minimal information value.,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q006_1.json
Q006,1,claude-haiku-4-5-20251001,условия вопросов в формах,B,bm25_heuristic,1,,0,3,2,3,2,"Provides some relevant information about form behavior and question settings, but lacks direct explanation of how to set question conditions. Moderate noise from repetition.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q006_1.json
Q006,1,claude-haiku-4-5-20251001,условия вопросов в формах,C,bm25,1,,0,3,2,3,2,"Mentions conditional questions and their setup, but contains significant repetition and image references. Partially addresses the query but with noise.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q006_1.json
Q006,1,claude-haiku-4-5-20251001,условия вопросов в формах,D,ontology_stable_baseline,1,,0,4,4,1,4,"Directly explains basic question settings and configuration process with clear step-by-step instructions. Highly relevant and answerable, minimal noise.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q006_1.json
Q006,1,claude-haiku-4-5-20251001,условия вопросов в формах,E,classic_dense_heuristic,1,,0,5,4,2,4,"Directly addresses conditional question settings with concrete examples and limitations. Highly relevant to query about question conditions, though slightly less comprehensive on basic settings than D.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q006_1.json
Q006,1,gemini-2.5-flash-lite,условия вопросов в формах,A,classic_dense,1,,0,2,1,4,1,"Контекст содержит заголовки, связанные с настройкой вопросов, но не дает конкретной информации об условиях их отправки.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q006_1.json
Q006,1,gemini-2.5-flash-lite,условия вопросов в формах,B,bm25_heuristic,1,,0,3,2,2,2,"Контекст упоминает, что форма считается успешно заполненной, если все вопросы необязательные, и что есть настройки, относящиеся к форме в целом, но не раскрывает условия отправки вопросов.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q006_1.json
Q006,1,gemini-2.5-flash-lite,условия вопросов в формах,C,bm25,1,,0,3,2,3,2,"Контекст говорит о добавлении вопроса при выполнении определенного условия и о том, что все вопросы необязательные, но не детализирует сами условия.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q006_1.json
Q006,1,gemini-2.5-flash-lite,условия вопросов в формах,D,ontology_stable_baseline,1,,0,4,3,2,3,"Контекст описывает основные настройки вопросов, включая идентификатор и текст вопроса, но не фокусируется на условиях их отправки.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q006_1.json
Q006,1,gemini-2.5-flash-lite,условия вопросов в формах,E,classic_dense_heuristic,1,,0,5,4,1,4,"Контекст прямо отвечает на запрос, объясняя, что форма позволяет настраивать условия отправки вопросов, и приводит пример.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q006_1.json
Q006,1,gpt-4o-mini,условия вопросов в формах,A,classic_dense,1,,0,3,1,3,1,"Содержит некоторые настройки вопросов, но не дает четкого понимания условий вопросов.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q006_1.json
Q006,1,gpt-4o-mini,условия вопросов в формах,B,bm25_heuristic,1,,0,2,1,4,0,"Содержит информацию о заполнении формы, но не касается условий вопросов.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q006_1.json
Q006,1,gpt-4o-mini,условия вопросов в формах,C,bm25,1,,0,2,1,4,0,"Содержит общие сведения о вопросах, но не отвечает на запрос о условиях.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q006_1.json
Q006,1,gpt-4o-mini,условия вопросов в формах,D,ontology_stable_baseline,1,,0,4,3,2,3,"Предоставляет информацию о настройках вопросов, но не полностью охватывает условия.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q006_1.json
Q006,1,gpt-4o-mini,условия вопросов в формах,E,classic_dense_heuristic,1,,0,5,4,1,4,"Четко описывает условия, при которых вопросы задаются, и содержит полезные примеры.",artifacts\judge_outputs\rag_5way\gpt-4o-mini\Q006_1.json
Q007,1,claude-haiku-4-5-20251001,макросы в конструкторе рассылок,A,classic_dense,1,,0,2,1,4,1,Highly fragmented with mostly chunk separators and incomplete sentences. Mentions macro types but lacks coherent explanation of how to use macros in the newsletter constructor.,artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q007_1.json
Q007,1,claude-haiku-4-5-20251001,макросы в конструкторе рассылок,B,bm25_heuristic,1,,0,4,3,2,3,"Relevant content about macros in newsletters with information about static audiences and macro values, but lacks practical guidance on using macros in the constructor itself.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q007_1.json
Q007,1,claude-haiku-4-5-20251001,макросы в конструкторе рассылок,C,classic_dense_heuristic,1,,0,4,3,2,3,"Similar to B with relevant information about macro usage in static audiences and event-triggered campaigns, but fragmented and lacks clear practical instructions for the constructor.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q007_1.json
Q007,1,claude-haiku-4-5-20251001,макросы в конструкторе рассылок,D,ontology_stable_baseline,1,,0,5,4,1,5,"Directly addresses the query with clear, practical explanation of macro usage in the newsletter constructor, including concrete examples (customer_name, customer_discount) and how to implement them.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q007_1.json
Q007,1,claude-haiku-4-5-20251001,макросы в конструкторе рассылок,E,bm25,1,,0,5,4,3,4,"Highly relevant with explicit statement that macros can be used in almost all text fields of the newsletter constructor, plus technical details about macro objects and usage patterns, though somewhat fragmented.",artifacts\judge_outputs\rag_5way\claude-haiku-4-5-20251001\Q007_1.json
Q007,1,gemini-2.5-flash-lite,макросы в конструкторе рассылок,A,classic_dense,1,,0,2,1,4,2,"Контекст содержит разрозненные упоминания макросов, но не объясняет их использование в конструкторе рассылок.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q007_1.json
Q007,1,gemini-2.5-flash-lite,макросы в конструкторе рассылок,B,bm25_heuristic,1,,0,4,3,2,4,"Контекст объясняет, как макросы используются в рассылках со статической аудиторией, и как задаются значения макросов клиента.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q007_1.json
Q007,1,gemini-2.5-flash-lite,макросы в конструкторе рассылок,C,classic_dense_heuristic,1,,0,4,3,2,4,"Контекст описывает передачу значений макросов в аргументах события для рассылок, начинающихся по событию, и упоминает использование макросов в рассылках со статической аудиторией.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q007_1.json
Q007,1,gemini-2.5-flash-lite,макросы в конструкторе рассылок,D,ontology_stable_baseline,1,,0,5,4,1,5,"Контекст напрямую отвечает на вопрос, объясняя, как макросы используются для персонализации рассылок в конструкторе и как задаются их значения.",artifacts\judge_outputs\rag_5way\gemini-2.5-flash-lite\Q007_1.json
